Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
808.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
780.txt,161,11,23,20,11,7,4,7,24,14.6364,14.6364,8.0500,1.8182,2.0909,1.8182,0.3500,0.6364,1.0000,0.3636,0.6364,0.3500,2.1818,1.2000
213.txt,203,5,27,22,9,13,8,5,27,40.6000,22.5556,9.2273,4.4000,3.0000,2.4444,0.5909,1.4444,1.8000,0.8889,0.5556,0.2273,3.0000,1.2273
679.txt,316,6,41,37,15,19,9,9,55,52.6667,21.0667,8.5405,6.1667,2.7333,2.4667,0.5135,1.2667,2.5000,0.6000,0.6000,0.2432,3.6667,1.4865
1255.txt,172,12,28,20,13,8,8,4,26,14.3333,13.2308,8.6000,1.6667,2.1538,1.5385,0.4000,0.6154,1.0833,0.6154,0.3077,0.2000,2.0000,1.3000
479.txt,178,13,22,20,12,7,5,3,21,13.6923,14.8333,8.9000,1.5385,1.8333,1.6667,0.3500,0.5833,0.9231,0.4167,0.2500,0.1500,1.7500,1.0500
1380.txt,203,4,28,22,11,9,5,6,27,50.7500,18.4545,9.2273,5.5000,2.5455,2.0000,0.4091,0.8182,2.7500,0.4545,0.5455,0.2727,2.4545,1.2273
327.txt,99,2,17,16,2,12,2,0,15,49.5000,49.5000,6.1875,8.0000,8.5000,8.0000,0.7500,6.0000,1.0000,1.0000,0.0000,0.0000,7.5000,0.9375
75.txt,221,3,34,25,3,16,3,4,22,73.6667,73.6667,8.8400,8.3333,11.3333,8.3333,0.6400,5.3333,1.0000,1.0000,1.3333,0.1600,7.3333,0.8800
562.txt,182,8,18,12,8,4,3,5,21,22.7500,22.7500,15.1667,1.5000,2.2500,1.5000,0.3333,0.5000,1.0000,0.3750,0.6250,0.4167,2.6250,1.7500
529.txt,234,5,35,25,9,13,6,7,32,46.8000,26.0000,9.3600,5.0000,3.8889,2.7778,0.5200,1.4444,1.8000,0.6667,0.7778,0.2800,3.5556,1.2800
632.txt,172,9,25,18,10,6,6,6,25,19.1111,17.2000,9.5556,2.0000,2.5000,1.8000,0.3333,0.6000,1.1111,0.6000,0.6000,0.3333,2.5000,1.3889
239.txt,188,11,27,20,13,7,7,6,25,17.0909,14.4615,9.4000,1.8182,2.0769,1.5385,0.3500,0.5385,1.1818,0.5385,0.4615,0.3000,1.9231,1.2500
1283.txt,149,2,20,16,2,9,2,5,18,74.5000,74.5000,9.3125,8.0000,10.0000,8.0000,0.5625,4.5000,1.0000,1.0000,2.5000,0.3125,9.0000,1.1250
902.txt,172,3,26,23,3,14,3,2,29,57.3333,57.3333,7.4783,7.6667,8.6667,7.6667,0.6087,4.6667,1.0000,1.0000,0.6667,0.0870,9.6667,1.2609
724.txt,187,12,27,21,17,4,4,6,18,15.5833,11.0000,8.9048,1.7500,1.5882,1.2353,0.1905,0.2353,1.4167,0.2353,0.3529,0.2857,1.0588,0.8571
113.txt,153,3,26,15,8,5,5,2,11,51.0000,19.1250,10.2000,5.0000,3.2500,1.8750,0.3333,0.6250,2.6667,0.6250,0.2500,0.1333,1.3750,0.7333
1442.txt,185,10,28,20,12,8,6,4,28,18.5000,15.4167,9.2500,2.0000,2.3333,1.6667,0.4000,0.6667,1.2000,0.5000,0.3333,0.2000,2.3333,1.4000
784.txt,182,2,22,13,8,5,5,3,27,91.0000,22.7500,14.0000,6.5000,2.7500,1.6250,0.3846,0.6250,4.0000,0.6250,0.3750,0.2308,3.3750,2.0769
415.txt,182,9,24,18,10,8,7,8,23,20.2222,18.2000,10.1111,2.0000,2.4000,1.8000,0.4444,0.8000,1.1111,0.7000,0.8000,0.4444,2.3000,1.2778
277.txt,125,3,19,12,6,5,4,1,21,41.6667,20.8333,10.4167,4.0000,3.1667,2.0000,0.4167,0.8333,2.0000,0.6667,0.1667,0.0833,3.5000,1.7500
53.txt,172,4,25,18,4,8,3,7,18,43.0000,43.0000,9.5556,4.5000,6.2500,4.5000,0.4444,2.0000,1.0000,0.7500,1.7500,0.3889,4.5000,1.0000
855.txt,220,6,30,26,7,15,6,1,33,36.6667,31.4286,8.4615,4.3333,4.2857,3.7143,0.5769,2.1429,1.1667,0.8571,0.1429,0.0385,4.7143,1.2692
317.txt,151,3,26,19,11,5,3,1,23,50.3333,13.7273,7.9474,6.3333,2.3636,1.7273,0.2632,0.4545,3.6667,0.2727,0.0909,0.0526,2.0909,1.2105
363.txt,120,5,14,10,5,4,1,4,17,24.0000,24.0000,12.0000,2.0000,2.8000,2.0000,0.4000,0.8000,1.0000,0.2000,0.8000,0.4000,3.4000,1.7000
1191.txt,182,9,25,17,9,8,7,3,24,20.2222,20.2222,10.7059,1.8889,2.7778,1.8889,0.4706,0.8889,1.0000,0.7778,0.3333,0.1765,2.6667,1.4118
725.txt,302,6,38,26,11,15,10,5,42,50.3333,27.4545,11.6154,4.3333,3.4545,2.3636,0.5769,1.3636,1.8333,0.9091,0.4545,0.1923,3.8182,1.6154
1157.txt,179,3,19,15,9,6,7,4,27,59.6667,19.8889,11.9333,5.0000,2.1111,1.6667,0.4000,0.6667,3.0000,0.7778,0.4444,0.2667,3.0000,1.8000
731.txt,179,4,31,22,6,15,6,4,23,44.7500,29.8333,8.1364,5.5000,5.1667,3.6667,0.6818,2.5000,1.5000,1.0000,0.6667,0.1818,3.8333,1.0455
896.txt,157,9,18,17,11,6,5,5,23,17.4444,14.2727,9.2353,1.8889,1.6364,1.5455,0.3529,0.5455,1.2222,0.4545,0.4545,0.2941,2.0909,1.3529
439.txt,180,3,33,27,4,14,4,2,33,60.0000,45.0000,6.6667,9.0000,8.2500,6.7500,0.5185,3.5000,1.3333,1.0000,0.5000,0.0741,8.2500,1.2222
1361.txt,164,10,24,18,13,5,4,2,20,16.4000,12.6154,9.1111,1.8000,1.8462,1.3846,0.2778,0.3846,1.3000,0.3077,0.1538,0.1111,1.5385,1.1111
284.txt,186,11,26,22,12,11,7,5,31,16.9091,15.5000,8.4545,2.0000,2.1667,1.8333,0.5000,0.9167,1.0909,0.5833,0.4167,0.2273,2.5833,1.4091
1523.txt,164,3,26,19,6,11,3,3,28,54.6667,27.3333,8.6316,6.3333,4.3333,3.1667,0.5789,1.8333,2.0000,0.5000,0.5000,0.1579,4.6667,1.4737
322.txt,170,2,25,16,6,6,4,4,27,85.0000,28.3333,10.6250,8.0000,4.1667,2.6667,0.3750,1.0000,3.0000,0.6667,0.6667,0.2500,4.5000,1.6875
467.txt,163,3,24,17,10,6,5,4,22,54.3333,16.3000,9.5882,5.6667,2.4000,1.7000,0.3529,0.6000,3.3333,0.5000,0.4000,0.2353,2.2000,1.2941
39.txt,129,7,18,13,7,4,4,3,20,18.4286,18.4286,9.9231,1.8571,2.5714,1.8571,0.3077,0.5714,1.0000,0.5714,0.4286,0.2308,2.8571,1.5385
1534.txt,314,13,50,33,18,15,10,4,35,24.1538,17.4444,9.5152,2.5385,2.7778,1.8333,0.4545,0.8333,1.3846,0.5556,0.2222,0.1212,1.9444,1.0606
1555.txt,156,4,23,18,8,9,4,4,22,39.0000,19.5000,8.6667,4.5000,2.8750,2.2500,0.5000,1.1250,2.0000,0.5000,0.5000,0.2222,2.7500,1.2222
614.txt,109,2,14,9,2,5,2,3,17,54.5000,54.5000,12.1111,4.5000,7.0000,4.5000,0.5556,2.5000,1.0000,1.0000,1.5000,0.3333,8.5000,1.8889
29.txt,119,2,19,16,10,6,6,2,13,59.5000,11.9000,7.4375,8.0000,1.9000,1.6000,0.3750,0.6000,5.0000,0.6000,0.2000,0.1250,1.3000,0.8125
32.txt,131,9,23,14,12,2,2,1,20,14.5556,10.9167,9.3571,1.5556,1.9167,1.1667,0.1429,0.1667,1.3333,0.1667,0.0833,0.0714,1.6667,1.4286
1369.txt,170,5,27,21,9,11,8,5,29,34.0000,18.8889,8.0952,4.2000,3.0000,2.3333,0.5238,1.2222,1.8000,0.8889,0.5556,0.2381,3.2222,1.3810
1141.txt,216,15,32,26,17,7,6,5,32,14.4000,12.7059,8.3077,1.7333,1.8824,1.5294,0.2692,0.4118,1.1333,0.3529,0.2941,0.1923,1.8824,1.2308
1114.txt,180,8,25,19,10,10,8,4,23,22.5000,18.0000,9.4737,2.3750,2.5000,1.9000,0.5263,1.0000,1.2500,0.8000,0.4000,0.2105,2.3000,1.2105
1433.txt,162,5,20,18,6,12,4,7,25,32.4000,27.0000,9.0000,3.6000,3.3333,3.0000,0.6667,2.0000,1.2000,0.6667,1.1667,0.3889,4.1667,1.3889
150.txt,186,7,19,12,7,5,4,4,25,26.5714,26.5714,15.5000,1.7143,2.7143,1.7143,0.4167,0.7143,1.0000,0.5714,0.5714,0.3333,3.5714,2.0833
487.txt,240,17,34,30,17,13,9,5,26,14.1176,14.1176,8.0000,1.7647,2.0000,1.7647,0.4333,0.7647,1.0000,0.5294,0.2941,0.1667,1.5294,0.8667
1289.txt,170,4,22,20,8,11,5,4,29,42.5000,21.2500,8.5000,5.0000,2.7500,2.5000,0.5500,1.3750,2.0000,0.6250,0.5000,0.2000,3.6250,1.4500
225.txt,173,3,28,19,6,10,3,4,24,57.6667,28.8333,9.1053,6.3333,4.6667,3.1667,0.5263,1.6667,2.0000,0.5000,0.6667,0.2105,4.0000,1.2632
1338.txt,197,4,21,19,5,9,3,11,23,49.2500,39.4000,10.3684,4.7500,4.2000,3.8000,0.4737,1.8000,1.2500,0.6000,2.2000,0.5789,4.6000,1.2105
833.txt,211,4,24,16,6,8,5,5,27,52.7500,35.1667,13.1875,4.0000,4.0000,2.6667,0.5000,1.3333,1.5000,0.8333,0.8333,0.3125,4.5000,1.6875
1385.txt,179,3,26,23,5,17,4,4,37,59.6667,35.8000,7.7826,7.6667,5.2000,4.6000,0.7391,3.4000,1.6667,0.8000,0.8000,0.1739,7.4000,1.6087
1571.txt,134,3,20,12,6,7,5,7,17,44.6667,22.3333,11.1667,4.0000,3.3333,2.0000,0.5833,1.1667,2.0000,0.8333,1.1667,0.5833,2.8333,1.4167
1568.txt,204,13,36,26,13,14,7,3,27,15.6923,15.6923,7.8462,2.0000,2.7692,2.0000,0.5385,1.0769,1.0000,0.5385,0.2308,0.1154,2.0769,1.0385
540.txt,188,3,24,22,5,11,3,4,21,62.6667,37.6000,8.5455,7.3333,4.8000,4.4000,0.5000,2.2000,1.6667,0.6000,0.8000,0.1818,4.2000,0.9545
283.txt,197,8,32,26,14,13,9,2,30,24.6250,14.0714,7.5769,3.2500,2.2857,1.8571,0.5000,0.9286,1.7500,0.6429,0.1429,0.0769,2.1429,1.1538
939.txt,158,4,18,13,5,3,2,2,23,39.5000,31.6000,12.1538,3.2500,3.6000,2.6000,0.2308,0.6000,1.2500,0.4000,0.4000,0.1538,4.6000,1.7692
1190.txt,170,4,21,14,11,3,3,3,24,42.5000,15.4545,12.1429,3.5000,1.9091,1.2727,0.2143,0.2727,2.7500,0.2727,0.2727,0.2143,2.1818,1.7143
792.txt,166,9,19,13,12,2,2,6,16,18.4444,13.8333,12.7692,1.4444,1.5833,1.0833,0.1538,0.1667,1.3333,0.1667,0.5000,0.4615,1.3333,1.2308
931.txt,170,5,21,15,10,5,3,8,21,34.0000,17.0000,11.3333,3.0000,2.1000,1.5000,0.3333,0.5000,2.0000,0.3000,0.8000,0.5333,2.1000,1.4000
1074.txt,150,7,24,18,8,9,5,3,23,21.4286,18.7500,8.3333,2.5714,3.0000,2.2500,0.5000,1.1250,1.1429,0.6250,0.3750,0.1667,2.8750,1.2778
1630.txt,171,3,23,17,7,9,5,5,28,57.0000,24.4286,10.0588,5.6667,3.2857,2.4286,0.5294,1.2857,2.3333,0.7143,0.7143,0.2941,4.0000,1.6471
681.txt,180,5,25,20,10,8,8,1,28,36.0000,18.0000,9.0000,4.0000,2.5000,2.0000,0.4000,0.8000,2.0000,0.8000,0.1000,0.0500,2.8000,1.4000
590.txt,137,2,21,19,5,10,3,1,22,68.5000,27.4000,7.2105,9.5000,4.2000,3.8000,0.5263,2.0000,2.5000,0.6000,0.2000,0.0526,4.4000,1.1579
880.txt,180,3,22,17,9,8,4,0,22,60.0000,20.0000,10.5882,5.6667,2.4444,1.8889,0.4706,0.8889,3.0000,0.4444,0.0000,0.0000,2.4444,1.2941
781.txt,183,12,26,20,13,7,6,6,26,15.2500,14.0769,9.1500,1.6667,2.0000,1.5385,0.3500,0.5385,1.0833,0.4615,0.4615,0.3000,2.0000,1.3000
1164.txt,184,12,27,21,14,8,7,5,30,15.3333,13.1429,8.7619,1.7500,1.9286,1.5000,0.3810,0.5714,1.1667,0.5000,0.3571,0.2381,2.1429,1.4286
176.txt,154,4,26,18,7,11,5,1,21,38.5000,22.0000,8.5556,4.5000,3.7143,2.5714,0.6111,1.5714,1.7500,0.7143,0.1429,0.0556,3.0000,1.1667
1360.txt,188,8,25,18,9,8,4,5,28,23.5000,20.8889,10.4444,2.2500,2.7778,2.0000,0.4444,0.8889,1.1250,0.4444,0.5556,0.2778,3.1111,1.5556
694.txt,126,3,20,15,5,9,4,2,18,42.0000,25.2000,8.4000,5.0000,4.0000,3.0000,0.6000,1.8000,1.6667,0.8000,0.4000,0.1333,3.6000,1.2000
302.txt,217,10,34,29,13,14,10,4,23,21.7000,16.6923,7.4828,2.9000,2.6154,2.2308,0.4828,1.0769,1.3000,0.7692,0.3077,0.1379,1.7692,0.7931
683.txt,199,8,23,21,14,7,7,3,22,24.8750,14.2143,9.4762,2.6250,1.6429,1.5000,0.3333,0.5000,1.7500,0.5000,0.2143,0.1429,1.5714,1.0476
1511.txt,126,3,23,18,8,5,3,0,13,42.0000,15.7500,7.0000,6.0000,2.8750,2.2500,0.2778,0.6250,2.6667,0.3750,0.0000,0.0000,1.6250,0.7222
841.txt,152,4,24,18,6,10,3,1,23,38.0000,25.3333,8.4444,4.5000,4.0000,3.0000,0.5556,1.6667,1.5000,0.5000,0.1667,0.0556,3.8333,1.2778
602.txt,141,3,25,18,3,10,3,1,18,47.0000,47.0000,7.8333,6.0000,8.3333,6.0000,0.5556,3.3333,1.0000,1.0000,0.3333,0.0556,6.0000,1.0000
1467.txt,141,3,22,19,8,11,6,2,23,47.0000,17.6250,7.4211,6.3333,2.7500,2.3750,0.5789,1.3750,2.6667,0.7500,0.2500,0.1053,2.8750,1.2105
563.txt,153,12,26,21,14,7,6,1,19,12.7500,10.9286,7.2857,1.7500,1.8571,1.5000,0.3333,0.5000,1.1667,0.4286,0.0714,0.0476,1.3571,0.9048
1482.txt,156,3,23,19,8,10,7,4,17,52.0000,19.5000,8.2105,6.3333,2.8750,2.3750,0.5263,1.2500,2.6667,0.8750,0.5000,0.2105,2.1250,0.8947
1646.txt,174,8,24,20,12,8,8,0,32,21.7500,14.5000,8.7000,2.5000,2.0000,1.6667,0.4000,0.6667,1.5000,0.6667,0.0000,0.0000,2.6667,1.6000
953.txt,165,2,30,21,2,8,2,3,24,82.5000,82.5000,7.8571,10.5000,15.0000,10.5000,0.3810,4.0000,1.0000,1.0000,1.5000,0.1429,12.0000,1.1429
96.txt,134,4,17,14,5,7,2,3,28,33.5000,26.8000,9.5714,3.5000,3.4000,2.8000,0.5000,1.4000,1.2500,0.4000,0.6000,0.2143,5.6000,2.0000
876.txt,179,5,31,26,11,14,6,1,29,35.8000,16.2727,6.8846,5.2000,2.8182,2.3636,0.5385,1.2727,2.2000,0.5455,0.0909,0.0385,2.6364,1.1154
1426.txt,175,12,21,16,12,3,3,4,18,14.5833,14.5833,10.9375,1.3333,1.7500,1.3333,0.1875,0.2500,1.0000,0.2500,0.3333,0.2500,1.5000,1.1250
275.txt,225,3,33,24,4,16,4,1,31,75.0000,56.2500,9.3750,8.0000,8.2500,6.0000,0.6667,4.0000,1.3333,1.0000,0.2500,0.0417,7.7500,1.2917
968.txt,165,5,26,22,7,12,7,0,26,33.0000,23.5714,7.5000,4.4000,3.7143,3.1429,0.5455,1.7143,1.4000,1.0000,0.0000,0.0000,3.7143,1.1818
188.txt,193,9,39,25,12,12,8,3,26,21.4444,16.0833,7.7200,2.7778,3.2500,2.0833,0.4800,1.0000,1.3333,0.6667,0.2500,0.1200,2.1667,1.0400
914.txt,183,10,26,20,10,8,5,8,23,18.3000,18.3000,9.1500,2.0000,2.6000,2.0000,0.4000,0.8000,1.0000,0.5000,0.8000,0.4000,2.3000,1.1500
224.txt,217,4,30,22,6,15,5,4,33,54.2500,36.1667,9.8636,5.5000,5.0000,3.6667,0.6818,2.5000,1.5000,0.8333,0.6667,0.1818,5.5000,1.5000
72.txt,157,3,22,18,9,8,4,1,26,52.3333,17.4444,8.7222,6.0000,2.4444,2.0000,0.4444,0.8889,3.0000,0.4444,0.1111,0.0556,2.8889,1.4444
785.txt,153,3,26,22,8,11,7,2,17,51.0000,19.1250,6.9545,7.3333,3.2500,2.7500,0.5000,1.3750,2.6667,0.8750,0.2500,0.0909,2.1250,0.7727
1166.txt,133,3,20,13,8,5,5,2,21,44.3333,16.6250,10.2308,4.3333,2.5000,1.6250,0.3846,0.6250,2.6667,0.6250,0.2500,0.1538,2.6250,1.6154
1353.txt,172,3,24,21,7,13,6,2,26,57.3333,24.5714,8.1905,7.0000,3.4286,3.0000,0.6190,1.8571,2.3333,0.8571,0.2857,0.0952,3.7143,1.2381
809.txt,172,12,29,25,15,9,7,1,28,14.3333,11.4667,6.8800,2.0833,1.9333,1.6667,0.3600,0.6000,1.2500,0.4667,0.0667,0.0400,1.8667,1.1200
1333.txt,182,11,31,26,13,12,8,1,33,16.5455,14.0000,7.0000,2.3636,2.3846,2.0000,0.4615,0.9231,1.1818,0.6154,0.0769,0.0385,2.5385,1.2692
1517.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
932.txt,201,14,27,22,15,6,5,1,31,14.3571,13.4000,9.1364,1.5714,1.8000,1.4667,0.2727,0.4000,1.0714,0.3333,0.0667,0.0455,2.0667,1.4091
352.txt,179,10,29,21,12,9,8,5,18,17.9000,14.9167,8.5238,2.1000,2.4167,1.7500,0.4286,0.7500,1.2000,0.6667,0.4167,0.2381,1.5000,0.8571
852.txt,198,4,25,17,4,5,3,6,24,49.5000,49.5000,11.6471,4.2500,6.2500,4.2500,0.2941,1.2500,1.0000,0.7500,1.5000,0.3529,6.0000,1.4118
1364.txt,176,5,26,22,12,6,8,3,27,35.2000,14.6667,8.0000,4.4000,2.1667,1.8333,0.2727,0.5000,2.4000,0.6667,0.2500,0.1364,2.2500,1.2273
318.txt,171,3,27,21,9,12,7,3,32,57.0000,19.0000,8.1429,7.0000,3.0000,2.3333,0.5714,1.3333,3.0000,0.7778,0.3333,0.1429,3.5556,1.5238
280.txt,171,3,27,20,12,8,4,4,16,57.0000,14.2500,8.5500,6.6667,2.2500,1.6667,0.4000,0.6667,4.0000,0.3333,0.3333,0.2000,1.3333,0.8000
1330.txt,187,4,24,19,7,12,5,5,27,46.7500,26.7143,9.8421,4.7500,3.4286,2.7143,0.6316,1.7143,1.7500,0.7143,0.7143,0.2632,3.8571,1.4211
460.txt,162,2,26,20,3,5,3,2,21,81.0000,54.0000,8.1000,10.0000,8.6667,6.6667,0.2500,1.6667,1.5000,1.0000,0.6667,0.1000,7.0000,1.0500
877.txt,282,5,35,23,5,13,4,9,43,56.4000,56.4000,12.2609,4.6000,7.0000,4.6000,0.5652,2.6000,1.0000,0.8000,1.8000,0.3913,8.6000,1.8696
164.txt,177,9,29,21,12,9,7,4,21,19.6667,14.7500,8.4286,2.3333,2.4167,1.7500,0.4286,0.7500,1.3333,0.5833,0.3333,0.1905,1.7500,1.0000
1131.txt,182,10,29,17,11,6,4,5,24,18.2000,16.5455,10.7059,1.7000,2.6364,1.5455,0.3529,0.5455,1.1000,0.3636,0.4545,0.2941,2.1818,1.4118
1175.txt,217,4,32,25,13,11,8,4,26,54.2500,16.6923,8.6800,6.2500,2.4615,1.9231,0.4400,0.8462,3.2500,0.6154,0.3077,0.1600,2.0000,1.0400
1397.txt,145,5,21,17,7,8,3,1,25,29.0000,20.7143,8.5294,3.4000,3.0000,2.4286,0.4706,1.1429,1.4000,0.4286,0.1429,0.0588,3.5714,1.4706
626.txt,161,13,24,22,16,7,6,5,19,12.3846,10.0625,7.3182,1.6923,1.5000,1.3750,0.3182,0.4375,1.2308,0.3750,0.3125,0.2273,1.1875,0.8636
990.txt,159,5,25,13,8,5,6,3,23,31.8000,19.8750,12.2308,2.6000,3.1250,1.6250,0.3846,0.6250,1.6000,0.7500,0.3750,0.2308,2.8750,1.7692
1509.txt,170,4,24,19,5,9,5,5,29,42.5000,34.0000,8.9474,4.7500,4.8000,3.8000,0.4737,1.8000,1.2500,1.0000,1.0000,0.2632,5.8000,1.5263
1035.txt,190,3,33,27,4,16,4,2,29,63.3333,47.5000,7.0370,9.0000,8.2500,6.7500,0.5926,4.0000,1.3333,1.0000,0.5000,0.0741,7.2500,1.0741
783.txt,173,12,20,15,15,3,2,2,27,14.4167,11.5333,11.5333,1.2500,1.3333,1.0000,0.2000,0.2000,1.2500,0.1333,0.1333,0.1333,1.8000,1.8000
963.txt,149,3,20,15,10,4,5,3,20,49.6667,14.9000,9.9333,5.0000,2.0000,1.5000,0.2667,0.4000,3.3333,0.5000,0.3000,0.2000,2.0000,1.3333
905.txt,126,3,21,14,5,7,3,1,18,42.0000,25.2000,9.0000,4.6667,4.2000,2.8000,0.5000,1.4000,1.6667,0.6000,0.2000,0.0714,3.6000,1.2857
409.txt,152,4,26,19,8,10,6,3,19,38.0000,19.0000,8.0000,4.7500,3.2500,2.3750,0.5263,1.2500,2.0000,0.7500,0.3750,0.1579,2.3750,1.0000
1404.txt,140,4,20,14,7,4,4,6,16,35.0000,20.0000,10.0000,3.5000,2.8571,2.0000,0.2857,0.5714,1.7500,0.5714,0.8571,0.4286,2.2857,1.1429
890.txt,179,3,28,18,7,10,4,9,20,59.6667,25.5714,9.9444,6.0000,4.0000,2.5714,0.5556,1.4286,2.3333,0.5714,1.2857,0.5000,2.8571,1.1111
818.txt,175,9,30,21,11,10,6,3,21,19.4444,15.9091,8.3333,2.3333,2.7273,1.9091,0.4762,0.9091,1.2222,0.5455,0.2727,0.1429,1.9091,1.0000
535.txt,261,14,37,26,14,9,7,9,36,18.6429,18.6429,10.0385,1.8571,2.6429,1.8571,0.3462,0.6429,1.0000,0.5000,0.6429,0.3462,2.5714,1.3846
11.txt,176,3,23,18,8,10,4,1,26,58.6667,22.0000,9.7778,6.0000,2.8750,2.2500,0.5556,1.2500,2.6667,0.5000,0.1250,0.0556,3.2500,1.4444
559.txt,174,9,22,16,10,7,4,6,26,19.3333,17.4000,10.8750,1.7778,2.2000,1.6000,0.4375,0.7000,1.1111,0.4000,0.6000,0.3750,2.6000,1.6250
582.txt,159,4,25,20,6,12,4,1,25,39.7500,26.5000,7.9500,5.0000,4.1667,3.3333,0.6000,2.0000,1.5000,0.6667,0.1667,0.0500,4.1667,1.2500
1010.txt,156,8,26,17,8,7,5,1,21,19.5000,19.5000,9.1765,2.1250,3.2500,2.1250,0.4118,0.8750,1.0000,0.6250,0.1250,0.0588,2.6250,1.2353
617.txt,174,3,26,20,8,12,6,5,31,58.0000,21.7500,8.7000,6.6667,3.2500,2.5000,0.6000,1.5000,2.6667,0.7500,0.6250,0.2500,3.8750,1.5500
909.txt,67,1,6,6,2,4,2,1,11,67.0000,33.5000,11.1667,6.0000,3.0000,3.0000,0.6667,2.0000,2.0000,1.0000,0.5000,0.1667,5.5000,1.8333
847.txt,137,9,20,16,11,5,5,6,9,15.2222,12.4545,8.5625,1.7778,1.8182,1.4545,0.3125,0.4545,1.2222,0.4545,0.5455,0.3750,0.8182,0.5625
