Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
603.txt,435,24,74,62,29,30,18,14,47,18.1250,15.0000,7.0161,2.5833,2.5517,2.1379,0.4839,1.0345,1.2083,0.6207,0.4828,0.2258,1.6207,0.7581
1152.txt,816,86,161,122,84,37,28,17,74,9.4884,9.7143,6.6885,1.4186,1.9167,1.4524,0.3033,0.4405,0.9767,0.3333,0.2024,0.1393,0.8810,0.6066
753.txt,193,8,34,26,9,16,8,4,23,24.1250,21.4444,7.4231,3.2500,3.7778,2.8889,0.6154,1.7778,1.1250,0.8889,0.4444,0.1538,2.5556,0.8846
1669.txt,470,26,74,59,33,27,22,20,47,18.0769,14.2424,7.9661,2.2692,2.2424,1.7879,0.4576,0.8182,1.2692,0.6667,0.6061,0.3390,1.4242,0.7966
35.txt,440,27,78,53,31,23,20,2,48,16.2963,14.1935,8.3019,1.9630,2.5161,1.7097,0.4340,0.7419,1.1481,0.6452,0.0645,0.0377,1.5484,0.9057
1028.txt,264,16,43,31,17,14,9,8,30,16.5000,15.5294,8.5161,1.9375,2.5294,1.8235,0.4516,0.8235,1.0625,0.5294,0.4706,0.2581,1.7647,0.9677
1258.txt,115,5,20,11,5,6,5,3,7,23.0000,23.0000,10.4545,2.2000,4.0000,2.2000,0.5455,1.2000,1.0000,1.0000,0.6000,0.2727,1.4000,0.6364
808.txt,287,15,48,33,17,18,10,8,28,19.1333,16.8824,8.6970,2.2000,2.8235,1.9412,0.5455,1.0588,1.1333,0.5882,0.4706,0.2424,1.6471,0.8485
780.txt,250,16,48,34,20,15,14,5,21,15.6250,12.5000,7.3529,2.1250,2.4000,1.7000,0.4412,0.7500,1.2500,0.7000,0.2500,0.1471,1.0500,0.6176
213.txt,616,36,114,85,43,36,27,18,51,17.1111,14.3256,7.2471,2.3611,2.6512,1.9767,0.4235,0.8372,1.1944,0.6279,0.4186,0.2118,1.1860,0.6000
679.txt,390,21,56,46,22,24,17,12,39,18.5714,17.7273,8.4783,2.1905,2.5455,2.0909,0.5217,1.0909,1.0476,0.7727,0.5455,0.2609,1.7727,0.8478
1255.txt,239,16,29,22,18,3,2,6,20,14.9375,13.2778,10.8636,1.3750,1.6111,1.2222,0.1364,0.1667,1.1250,0.1111,0.3333,0.2727,1.1111,0.9091
479.txt,284,13,44,28,16,15,10,10,18,21.8462,17.7500,10.1429,2.1538,2.7500,1.7500,0.5357,0.9375,1.2308,0.6250,0.6250,0.3571,1.1250,0.6429
1380.txt,430,19,71,58,26,25,19,12,41,22.6316,16.5385,7.4138,3.0526,2.7308,2.2308,0.4310,0.9615,1.3684,0.7308,0.4615,0.2069,1.5769,0.7069
327.txt,341,29,60,50,27,21,17,3,38,11.7586,12.6296,6.8200,1.7241,2.2222,1.8519,0.4200,0.7778,0.9310,0.6296,0.1111,0.0600,1.4074,0.7600
75.txt,377,20,59,42,22,22,15,6,34,18.8500,17.1364,8.9762,2.1000,2.6818,1.9091,0.5238,1.0000,1.1000,0.6818,0.2727,0.1429,1.5455,0.8095
562.txt,429,27,78,57,30,26,19,7,33,15.8889,14.3000,7.5263,2.1111,2.6000,1.9000,0.4561,0.8667,1.1111,0.6333,0.2333,0.1228,1.1000,0.5789
529.txt,360,24,56,42,26,16,11,12,33,15.0000,13.8462,8.5714,1.7500,2.1538,1.6154,0.3810,0.6154,1.0833,0.4231,0.4615,0.2857,1.2692,0.7857
632.txt,220,11,38,30,18,14,9,5,20,20.0000,12.2222,7.3333,2.7273,2.1111,1.6667,0.4667,0.7778,1.6364,0.5000,0.2778,0.1667,1.1111,0.6667
239.txt,632,29,96,76,35,39,25,24,68,21.7931,18.0571,8.3158,2.6207,2.7429,2.1714,0.5132,1.1143,1.2069,0.7143,0.6857,0.3158,1.9429,0.8947
1283.txt,618,33,96,71,38,30,24,16,67,18.7273,16.2632,8.7042,2.1515,2.5263,1.8684,0.4225,0.7895,1.1515,0.6316,0.4211,0.2254,1.7632,0.9437
1766.txt,185,9,33,24,8,13,7,4,13,20.5556,23.1250,7.7083,2.6667,4.1250,3.0000,0.5417,1.6250,0.8889,0.8750,0.5000,0.1667,1.6250,0.5417
902.txt,190,9,32,26,11,12,6,3,9,21.1111,17.2727,7.3077,2.8889,2.9091,2.3636,0.4615,1.0909,1.2222,0.5455,0.2727,0.1154,0.8182,0.3462
724.txt,276,12,51,43,14,29,13,3,21,23.0000,19.7143,6.4186,3.5833,3.6429,3.0714,0.6744,2.0714,1.1667,0.9286,0.2143,0.0698,1.5000,0.4884
113.txt,177,7,22,16,8,9,5,3,16,25.2857,22.1250,11.0625,2.2857,2.7500,2.0000,0.5625,1.1250,1.1429,0.6250,0.3750,0.1875,2.0000,1.0000
1442.txt,530,33,72,62,36,27,13,17,68,16.0606,14.7222,8.5484,1.8788,2.0000,1.7222,0.4355,0.7500,1.0909,0.3611,0.4722,0.2742,1.8889,1.0968
784.txt,142,2,23,16,3,12,3,5,20,71.0000,47.3333,8.8750,8.0000,7.6667,5.3333,0.7500,4.0000,1.5000,1.0000,1.6667,0.3125,6.6667,1.2500
415.txt,173,10,31,26,11,15,9,2,14,17.3000,15.7273,6.6538,2.6000,2.8182,2.3636,0.5769,1.3636,1.1000,0.8182,0.1818,0.0769,1.2727,0.5385
277.txt,529,25,80,66,28,32,21,11,42,21.1600,18.8929,8.0152,2.6400,2.8571,2.3571,0.4848,1.1429,1.1200,0.7500,0.3929,0.1667,1.5000,0.6364
53.txt,234,13,34,31,15,16,9,3,27,18.0000,15.6000,7.5484,2.3846,2.2667,2.0667,0.5161,1.0667,1.1538,0.6000,0.2000,0.0968,1.8000,0.8710
855.txt,491,38,78,67,40,26,19,5,45,12.9211,12.2750,7.3284,1.7632,1.9500,1.6750,0.3881,0.6500,1.0526,0.4750,0.1250,0.0746,1.1250,0.6716
1751.txt,451,23,74,52,25,22,15,7,42,19.6087,18.0400,8.6731,2.2609,2.9600,2.0800,0.4231,0.8800,1.0870,0.6000,0.2800,0.1346,1.6800,0.8077
317.txt,298,10,41,32,13,19,9,10,28,29.8000,22.9231,9.3125,3.2000,3.1538,2.4615,0.5938,1.4615,1.3000,0.6923,0.7692,0.3125,2.1538,0.8750
363.txt,428,24,80,61,26,33,19,7,33,17.8333,16.4615,7.0164,2.5417,3.0769,2.3462,0.5410,1.2692,1.0833,0.7308,0.2692,0.1148,1.2692,0.5410
1191.txt,480,26,75,63,36,27,22,8,47,18.4615,13.3333,7.6190,2.4231,2.0833,1.7500,0.4286,0.7500,1.3846,0.6111,0.2222,0.1270,1.3056,0.7460
725.txt,298,16,47,40,19,22,15,11,34,18.6250,15.6842,7.4500,2.5000,2.4737,2.1053,0.5500,1.1579,1.1875,0.7895,0.5789,0.2750,1.7895,0.8500
1157.txt,374,7,64,33,7,25,7,8,37,53.4286,53.4286,11.3333,4.7143,9.1429,4.7143,0.7576,3.5714,1.0000,1.0000,1.1429,0.2424,5.2857,1.1212
731.txt,389,16,68,48,17,26,14,11,40,24.3125,22.8824,8.1042,3.0000,4.0000,2.8235,0.5417,1.5294,1.0625,0.8235,0.6471,0.2292,2.3529,0.8333
896.txt,250,16,45,36,17,16,11,2,19,15.6250,14.7059,6.9444,2.2500,2.6471,2.1176,0.4444,0.9412,1.0625,0.6471,0.1176,0.0556,1.1176,0.5278
439.txt,434,14,78,58,19,31,15,6,36,31.0000,22.8421,7.4828,4.1429,4.1053,3.0526,0.5345,1.6316,1.3571,0.7895,0.3158,0.1034,1.8947,0.6207
1361.txt,183,14,35,25,14,12,8,5,19,13.0714,13.0714,7.3200,1.7857,2.5000,1.7857,0.4800,0.8571,1.0000,0.5714,0.3571,0.2000,1.3571,0.7600
284.txt,330,23,59,49,24,25,17,14,26,14.3478,13.7500,6.7347,2.1304,2.4583,2.0417,0.5102,1.0417,1.0435,0.7083,0.5833,0.2857,1.0833,0.5306
1523.txt,378,22,49,40,23,17,14,7,50,17.1818,16.4348,9.4500,1.8182,2.1304,1.7391,0.4250,0.7391,1.0455,0.6087,0.3043,0.1750,2.1739,1.2500
322.txt,482,23,87,69,27,42,20,12,54,20.9565,17.8519,6.9855,3.0000,3.2222,2.5556,0.6087,1.5556,1.1739,0.7407,0.4444,0.1739,2.0000,0.7826
467.txt,382,17,70,58,18,34,14,10,36,22.4706,21.2222,6.5862,3.4118,3.8889,3.2222,0.5862,1.8889,1.0588,0.7778,0.5556,0.1724,2.0000,0.6207
39.txt,441,23,64,49,26,20,12,13,37,19.1739,16.9615,9.0000,2.1304,2.4615,1.8846,0.4082,0.7692,1.1304,0.4615,0.5000,0.2653,1.4231,0.7551
1534.txt,233,12,35,25,13,12,8,6,22,19.4167,17.9231,9.3200,2.0833,2.6923,1.9231,0.4800,0.9231,1.0833,0.6154,0.4615,0.2400,1.6923,0.8800
1555.txt,304,5,59,40,9,27,7,12,28,60.8000,33.7778,7.6000,8.0000,6.5556,4.4444,0.6750,3.0000,1.8000,0.7778,1.3333,0.3000,3.1111,0.7000
614.txt,279,14,49,40,19,21,13,1,32,19.9286,14.6842,6.9750,2.8571,2.5789,2.1053,0.5250,1.1053,1.3571,0.6842,0.0526,0.0250,1.6842,0.8000
29.txt,293,20,53,41,25,18,15,8,14,14.6500,11.7200,7.1463,2.0500,2.1200,1.6400,0.4390,0.7200,1.2500,0.6000,0.3200,0.1951,0.5600,0.3415
32.txt,176,8,24,20,9,11,7,2,20,22.0000,19.5556,8.8000,2.5000,2.6667,2.2222,0.5500,1.2222,1.1250,0.7778,0.2222,0.1000,2.2222,1.0000
1369.txt,165,11,33,25,11,14,11,4,15,15.0000,15.0000,6.6000,2.2727,3.0000,2.2727,0.5600,1.2727,1.0000,1.0000,0.3636,0.1600,1.3636,0.6000
1141.txt,219,24,33,30,21,12,7,9,17,9.1250,10.4286,7.3000,1.2500,1.5714,1.4286,0.4000,0.5714,0.8750,0.3333,0.4286,0.3000,0.8095,0.5667
1114.txt,465,25,86,63,28,35,16,10,47,18.6000,16.6071,7.3810,2.5200,3.0714,2.2500,0.5556,1.2500,1.1200,0.5714,0.3571,0.1587,1.6786,0.7460
1780.txt,372,22,49,39,23,16,11,15,36,16.9091,16.1739,9.5385,1.7727,2.1304,1.6957,0.4103,0.6957,1.0455,0.4783,0.6522,0.3846,1.5652,0.9231
1433.txt,369,17,43,31,21,11,9,14,49,21.7059,17.5714,11.9032,1.8235,2.0476,1.4762,0.3548,0.5238,1.2353,0.4286,0.6667,0.4516,2.3333,1.5806
150.txt,402,25,63,58,32,28,19,6,41,16.0800,12.5625,6.9310,2.3200,1.9688,1.8125,0.4828,0.8750,1.2800,0.5938,0.1875,0.1034,1.2812,0.7069
487.txt,190,11,27,23,12,11,9,5,21,17.2727,15.8333,8.2609,2.0909,2.2500,1.9167,0.4783,0.9167,1.0909,0.7500,0.4167,0.2174,1.7500,0.9130
1289.txt,463,24,62,55,31,25,19,11,57,19.2917,14.9355,8.4182,2.2917,2.0000,1.7742,0.4545,0.8065,1.2917,0.6129,0.3548,0.2000,1.8387,1.0364
225.txt,367,28,68,46,27,20,14,10,43,13.1071,13.5926,7.9783,1.6429,2.5185,1.7037,0.4348,0.7407,0.9643,0.5185,0.3704,0.2174,1.5926,0.9348
1338.txt,309,26,57,48,26,22,14,2,28,11.8846,11.8846,6.4375,1.8462,2.1923,1.8462,0.4583,0.8462,1.0000,0.5385,0.0769,0.0417,1.0769,0.5833
1696.txt,423,23,77,55,30,26,19,4,46,18.3913,14.1000,7.6909,2.3913,2.5667,1.8333,0.4727,0.8667,1.3043,0.6333,0.1333,0.0727,1.5333,0.8364
833.txt,307,16,45,36,16,19,13,14,22,19.1875,19.1875,8.5278,2.2500,2.8125,2.2500,0.5278,1.1875,1.0000,0.8125,0.8750,0.3889,1.3750,0.6111
1385.txt,413,17,76,61,27,28,20,14,27,24.2941,15.2963,6.7705,3.5882,2.8148,2.2593,0.4590,1.0370,1.5882,0.7407,0.5185,0.2295,1.0000,0.4426
1571.txt,446,26,75,61,35,26,23,12,41,17.1538,12.7429,7.3115,2.3462,2.1429,1.7429,0.4262,0.7429,1.3462,0.6571,0.3429,0.1967,1.1714,0.6721
1568.txt,419,21,65,50,27,24,17,12,46,19.9524,15.5185,8.3800,2.3810,2.4074,1.8519,0.4800,0.8889,1.2857,0.6296,0.4444,0.2400,1.7037,0.9200
540.txt,380,19,63,53,23,28,18,8,40,20.0000,16.5217,7.1698,2.7895,2.7391,2.3043,0.5283,1.2174,1.2105,0.7826,0.3478,0.1509,1.7391,0.7547
283.txt,582,30,102,80,36,45,20,19,51,19.4000,16.1667,7.2750,2.6667,2.8333,2.2222,0.5625,1.2500,1.2000,0.5556,0.5278,0.2375,1.4167,0.6375
939.txt,360,15,64,46,26,17,16,12,27,24.0000,13.8462,7.8261,3.0667,2.4615,1.7692,0.3696,0.6538,1.7333,0.6154,0.4615,0.2609,1.0385,0.5870
1190.txt,285,15,45,32,17,15,13,9,31,19.0000,16.7647,8.9062,2.1333,2.6471,1.8824,0.4688,0.8824,1.1333,0.7647,0.5294,0.2812,1.8235,0.9688
792.txt,379,16,47,35,18,17,11,13,43,23.6875,21.0556,10.8286,2.1875,2.6111,1.9444,0.4857,0.9444,1.1250,0.6111,0.7222,0.3714,2.3889,1.2286
931.txt,452,24,88,72,30,41,26,3,35,18.8333,15.0667,6.2778,3.0000,2.9333,2.4000,0.5694,1.3667,1.2500,0.8667,0.1000,0.0417,1.1667,0.4861
1074.txt,459,20,73,56,25,30,17,13,44,22.9500,18.3600,8.1964,2.8000,2.9200,2.2400,0.5357,1.2000,1.2500,0.6800,0.5200,0.2321,1.7600,0.7857
1630.txt,183,10,33,25,12,14,8,6,21,18.3000,15.2500,7.3200,2.5000,2.7500,2.0833,0.5600,1.1667,1.2000,0.6667,0.5000,0.2400,1.7500,0.8400
681.txt,154,10,26,21,9,12,7,3,12,15.4000,17.1111,7.3333,2.1000,2.8889,2.3333,0.5714,1.3333,0.9000,0.7778,0.3333,0.1429,1.3333,0.5714
590.txt,353,20,61,42,22,19,10,11,34,17.6500,16.0455,8.4048,2.1000,2.7727,1.9091,0.4524,0.8636,1.1000,0.4545,0.5000,0.2619,1.5455,0.8095
880.txt,338,15,57,45,17,26,13,5,47,22.5333,19.8824,7.5111,3.0000,3.3529,2.6471,0.5778,1.5294,1.1333,0.7647,0.2941,0.1111,2.7647,1.0444
781.txt,211,8,40,21,11,13,7,3,24,26.3750,19.1818,10.0476,2.6250,3.6364,1.9091,0.6190,1.1818,1.3750,0.6364,0.2727,0.1429,2.1818,1.1429
1164.txt,320,21,56,52,21,31,13,7,29,15.2381,15.2381,6.1538,2.4762,2.6667,2.4762,0.5962,1.4762,1.0000,0.6190,0.3333,0.1346,1.3810,0.5577
176.txt,188,8,27,19,9,10,4,7,12,23.5000,20.8889,9.8947,2.3750,3.0000,2.1111,0.5263,1.1111,1.1250,0.4444,0.7778,0.3684,1.3333,0.6316
1360.txt,336,16,48,38,17,21,15,14,37,21.0000,19.7647,8.8421,2.3750,2.8235,2.2353,0.5526,1.2353,1.0625,0.8824,0.8235,0.3684,2.1765,0.9737
694.txt,357,18,57,41,21,19,10,7,38,19.8333,17.0000,8.7073,2.2778,2.7143,1.9524,0.4634,0.9048,1.1667,0.4762,0.3333,0.1707,1.8095,0.9268
302.txt,151,9,23,19,11,8,6,2,14,16.7778,13.7273,7.9474,2.1111,2.0909,1.7273,0.4211,0.7273,1.2222,0.5455,0.1818,0.1053,1.2727,0.7368
683.txt,517,31,86,62,38,24,17,17,51,16.6774,13.6053,8.3387,2.0000,2.2632,1.6316,0.3871,0.6316,1.2258,0.4474,0.4474,0.2742,1.3421,0.8226
1511.txt,443,26,79,60,30,30,18,7,41,17.0385,14.7667,7.3833,2.3077,2.6333,2.0000,0.5000,1.0000,1.1538,0.6000,0.2333,0.1167,1.3667,0.6833
841.txt,847,43,156,110,47,64,31,16,68,19.6977,18.0213,7.7000,2.5581,3.3191,2.3404,0.5818,1.3617,1.0930,0.6596,0.3404,0.1455,1.4468,0.6182
602.txt,272,16,51,41,18,22,11,5,35,17.0000,15.1111,6.6341,2.5625,2.8333,2.2778,0.5366,1.2222,1.1250,0.6111,0.2778,0.1220,1.9444,0.8537
1467.txt,523,33,80,65,38,29,19,10,57,15.8485,13.7632,8.0462,1.9697,2.1053,1.7105,0.4462,0.7632,1.1515,0.5000,0.2632,0.1538,1.5000,0.8769
563.txt,430,34,74,68,36,31,21,7,45,12.6471,11.9444,6.3235,2.0000,2.0556,1.8889,0.4559,0.8611,1.0588,0.5833,0.1944,0.1029,1.2500,0.6618
1482.txt,518,26,81,63,26,35,19,8,62,19.9231,19.9231,8.2222,2.4231,3.1154,2.4231,0.5556,1.3462,1.0000,0.7308,0.3077,0.1270,2.3846,0.9841
1646.txt,597,23,70,58,27,29,22,14,94,25.9565,22.1111,10.2931,2.5217,2.5926,2.1481,0.5000,1.0741,1.1739,0.8148,0.5185,0.2414,3.4815,1.6207
953.txt,381,20,64,49,26,23,14,8,31,19.0500,14.6538,7.7755,2.4500,2.4615,1.8846,0.4694,0.8846,1.3000,0.5385,0.3077,0.1633,1.1923,0.6327
96.txt,597,22,80,62,23,38,19,17,79,27.1364,25.9565,9.6290,2.8182,3.4783,2.6957,0.6129,1.6522,1.0455,0.8261,0.7391,0.2742,3.4348,1.2742
876.txt,325,13,55,41,16,25,13,5,23,25.0000,20.3125,7.9268,3.1538,3.4375,2.5625,0.6098,1.5625,1.2308,0.8125,0.3125,0.1220,1.4375,0.5610
1426.txt,457,30,71,55,34,23,18,25,45,15.2333,13.4412,8.3091,1.8333,2.0882,1.6176,0.4182,0.6765,1.1333,0.5294,0.7353,0.4545,1.3235,0.8182
1768.txt,431,15,74,56,21,31,16,17,33,28.7333,20.5238,7.6964,3.7333,3.5238,2.6667,0.5536,1.4762,1.4000,0.7619,0.8095,0.3036,1.5714,0.5893
275.txt,477,25,87,70,26,40,21,14,42,19.0800,18.3462,6.8143,2.8000,3.3462,2.6923,0.5714,1.5385,1.0400,0.8077,0.5385,0.2000,1.6154,0.6000
968.txt,306,13,53,36,17,19,13,10,26,23.5385,18.0000,8.5000,2.7692,3.1176,2.1176,0.5278,1.1176,1.3077,0.7647,0.5882,0.2778,1.5294,0.7222
188.txt,495,20,83,58,23,36,19,10,50,24.7500,21.5217,8.5345,2.9000,3.6087,2.5217,0.6207,1.5652,1.1500,0.8261,0.4348,0.1724,2.1739,0.8621
1781.txt,292,16,49,43,18,25,13,3,24,18.2500,16.2222,6.7907,2.6875,2.7222,2.3889,0.5814,1.3889,1.1250,0.7222,0.1667,0.0698,1.3333,0.5581
1750.txt,381,21,63,47,27,21,17,4,40,18.1429,14.1111,8.1064,2.2381,2.3333,1.7407,0.4468,0.7778,1.2857,0.6296,0.1481,0.0851,1.4815,0.8511
914.txt,353,22,51,43,22,19,11,13,44,16.0455,16.0455,8.2093,1.9545,2.3182,1.9545,0.4419,0.8636,1.0000,0.5000,0.5909,0.3023,2.0000,1.0233
224.txt,560,38,93,68,45,24,22,7,50,14.7368,12.4444,8.2353,1.7895,2.0667,1.5111,0.3529,0.5333,1.1842,0.4889,0.1556,0.1029,1.1111,0.7353
72.txt,330,20,44,32,23,11,10,21,22,16.5000,14.3478,10.3125,1.6000,1.9130,1.3913,0.3438,0.4783,1.1500,0.4348,0.9130,0.6562,0.9565,0.6875
785.txt,521,25,84,57,35,22,15,20,59,20.8400,14.8857,9.1404,2.2800,2.4000,1.6286,0.3860,0.6286,1.4000,0.4286,0.5714,0.3509,1.6857,1.0351
1166.txt,471,26,74,54,30,23,18,7,54,18.1154,15.7000,8.7222,2.0769,2.4667,1.8000,0.4259,0.7667,1.1538,0.6000,0.2333,0.1296,1.8000,1.0000
1353.txt,200,12,25,22,11,11,3,7,23,16.6667,18.1818,9.0909,1.8333,2.2727,2.0000,0.5000,1.0000,0.9167,0.2727,0.6364,0.3182,2.0909,1.0455
809.txt,311,11,49,39,16,23,12,12,26,28.2727,19.4375,7.9744,3.5455,3.0625,2.4375,0.5897,1.4375,1.4545,0.7500,0.7500,0.3077,1.6250,0.6667
1333.txt,223,14,37,32,16,19,11,13,19,15.9286,13.9375,6.9688,2.2857,2.3125,2.0000,0.5938,1.1875,1.1429,0.6875,0.8125,0.4062,1.1875,0.5938
1517.txt,266,12,44,35,16,16,11,7,29,22.1667,16.6250,7.6000,2.9167,2.7500,2.1875,0.4571,1.0000,1.3333,0.6875,0.4375,0.2000,1.8125,0.8286
932.txt,372,10,56,42,14,24,12,15,31,37.2000,26.5714,8.8571,4.2000,4.0000,3.0000,0.5714,1.7143,1.4000,0.8571,1.0714,0.3571,2.2143,0.7381
352.txt,279,19,49,36,22,12,8,8,26,14.6842,12.6818,7.7500,1.8947,2.2273,1.6364,0.3333,0.5455,1.1579,0.3636,0.3636,0.2222,1.1818,0.7222
852.txt,366,15,67,43,19,24,15,14,39,24.4000,19.2632,8.5116,2.8667,3.5263,2.2632,0.5581,1.2632,1.2667,0.7895,0.7368,0.3256,2.0526,0.9070
1364.txt,337,22,50,43,22,22,14,13,32,15.3182,15.3182,7.8372,1.9545,2.2727,1.9545,0.5116,1.0000,1.0000,0.6364,0.5909,0.3023,1.4545,0.7442
318.txt,418,24,67,48,30,18,12,9,36,17.4167,13.9333,8.7083,2.0000,2.2333,1.6000,0.3750,0.6000,1.2500,0.4000,0.3000,0.1875,1.2000,0.7500
280.txt,631,23,97,74,29,35,19,13,56,27.4348,21.7586,8.5270,3.2174,3.3448,2.5517,0.4730,1.2069,1.2609,0.6552,0.4483,0.1757,1.9310,0.7568
1330.txt,610,28,101,76,39,33,24,15,49,21.7857,15.6410,8.0263,2.7143,2.5897,1.9487,0.4342,0.8462,1.3929,0.6154,0.3846,0.1974,1.2564,0.6447
460.txt,338,7,56,48,12,27,10,13,27,48.2857,28.1667,7.0417,6.8571,4.6667,4.0000,0.5625,2.2500,1.7143,0.8333,1.0833,0.2708,2.2500,0.5625
877.txt,280,3,54,43,8,30,7,11,37,93.3333,35.0000,6.5116,14.3333,6.7500,5.3750,0.6977,3.7500,2.6667,0.8750,1.3750,0.2558,4.6250,0.8605
164.txt,478,16,70,49,19,34,15,25,42,29.8750,25.1579,9.7551,3.0625,3.6842,2.5789,0.6939,1.7895,1.1875,0.7895,1.3158,0.5102,2.2105,0.8571
1131.txt,398,23,54,40,26,14,13,6,54,17.3043,15.3077,9.9500,1.7391,2.0769,1.5385,0.3500,0.5385,1.1304,0.5000,0.2308,0.1500,2.0769,1.3500
1175.txt,270,18,56,41,20,21,15,5,26,15.0000,13.5000,6.5854,2.2778,2.8000,2.0500,0.5122,1.0500,1.1111,0.7500,0.2500,0.1220,1.3000,0.6341
1397.txt,448,19,64,47,25,19,12,13,42,23.5789,17.9200,9.5319,2.4737,2.5600,1.8800,0.4043,0.7600,1.3158,0.4800,0.5200,0.2766,1.6800,0.8936
626.txt,237,6,36,27,8,19,6,4,20,39.5000,29.6250,8.7778,4.5000,4.5000,3.3750,0.7037,2.3750,1.3333,0.7500,0.5000,0.1481,2.5000,0.7407
990.txt,424,20,65,46,22,22,12,16,35,21.2000,19.2727,9.2174,2.3000,2.9545,2.0909,0.4783,1.0000,1.1000,0.5455,0.7273,0.3478,1.5909,0.7609
1509.txt,548,29,104,72,29,45,20,20,40,18.8966,18.8966,7.6111,2.4828,3.5862,2.4828,0.6250,1.5517,1.0000,0.6897,0.6897,0.2778,1.3793,0.5556
1035.txt,348,14,51,37,18,15,9,14,38,24.8571,19.3333,9.4054,2.6429,2.8333,2.0556,0.4054,0.8333,1.2857,0.5000,0.7778,0.3784,2.1111,1.0270
783.txt,868,45,152,110,51,58,37,28,88,19.2889,17.0196,7.8909,2.4444,2.9804,2.1569,0.5273,1.1373,1.1333,0.7255,0.5490,0.2545,1.7255,0.8000
963.txt,255,15,41,31,17,15,11,10,23,17.0000,15.0000,8.2258,2.0667,2.4118,1.8235,0.4839,0.8824,1.1333,0.6471,0.5882,0.3226,1.3529,0.7419
905.txt,49,4,7,6,4,2,0,3,4,12.2500,12.2500,8.1667,1.5000,1.7500,1.5000,0.3333,0.5000,1.0000,0.0000,0.7500,0.5000,1.0000,0.6667
